id,retweet_count,favorite_count
865718153858494464,4816,22859
865359393868664832,4272,23530
865006731092295680,6637,24969
864873206498414592,7476,28761
864279568663928832,2571,13030
864197398364647424,7557,26558
863907417377173506,3578,18383
863553081350529029,3613,13636
863471782782697472,2085,0
863432100342583297,4544,21230
863427515083354112,80,1956
863079547188785154,949,7878
863062471531167744,2085,7502
862831371563274240,4446,17184
862722525377298433,3076,15294
862457590147678208,4232,18223
862096992088072192,19913,66070
861383897657036800,9230,32193
861288531465048066,3576,15306
861005113778896900,3321,14946
860981674716409858,1850,0
860924035999428608,676,0
860563773140209665,1850,6703
860524505164394496,4584,21204
860276583193509888,3057,16532
860184849394610176,5107,14967
860177593139703809,26617,0
859924526012018688,3573,17561
859851578198683649,3059,13949
859607811541651456,1360,16792
859196978902773760,26179,80309
859074603037188101,11923,30343
858860390427611136,7054,0
858843525470990336,3019,14089
858471635011153920,4243,19425
858107933456039936,2534,14196
857989990357356544,2259,14459
857746408056729600,9314,30720
857393404942143489,1436,5294
857263160327368704,3960,18207
857214891891077121,16,203
857062103051644929,146,0
857029823797047296,3473,17008
856543823941562368,2534,14793
856526610513747968,1651,10794
856288084350160898,15,488
856282028240666624,5565,25169
855862651834028034,21,303
855860136149123072,849,4397
855857698524602368,1854,10836
855851453814013952,16078,41818
855818117272018944,4799,24225
855459453768019968,7284,27031
855245323840757760,5249,0
855138241867124737,36,0
854732716440526848,5328,20628
854482394044301312,6001,26505
854365224396361728,4134,17156
854120357044912130,6573,29155
854010172552949760,2785,14803
853760880890318849,5104,26021
853639147608842240,8841,31462
853299958564483072,3162,14130
852936405516943360,1783,0
852912242202992640,1593,8229
852672615818899456,1904,13616
852553447878664193,3102,14863
852311364735569921,8844,30283
852226086759018497,6072,18309
852189679701164033,1415,10556
851591660324737024,3120,14925
851464819735769094,6293,22226
851224888060895234,5159,18993
850753642995093505,8057,28078
850380195714523136,2325,12051
850333567704068097,301,3184
850145622816686080,3386,15017
850019790995546112,4356,18742
849776966551130114,6798,27864
849668094696017920,4434,0
849412302885593088,2822,14652
849336543269576704,1684,10538
849051919805034497,7603,38930
848690551926992896,3914,23227
848324959059550208,4143,22782
848213670039564288,644,7533
848212111729840128,2711,15009
847978865427394560,2914,0
847971574464610304,394,0
847962785489326080,4562,21690
847842811428974592,1186,5003
847617282490613760,376,6455
847606175596138505,3075,17319
847251039262605312,3908,18931
847157206088847362,5243,18335
847116187444137987,2870,19838
846874817362120707,3542,18586
846514051647705089,10351,41090
846505985330044928,2753,13043
846153765933735936,8148,29037
846139713627017216,9146,28747
846042936437604353,2582,14783
845812042753855489,7844,26964
845677943972139009,4372,23390
845397057150107648,1617,7076
845306882940190720,4846,21574
845098359547420673,6925,0
844979544864018432,2306,12654
844973813909606400,2841,13906
844580511645339650,2807,15270
844223788422217728,1986,12674
843981021012017153,2698,14082
843856843873095681,4163,19923
843604394117681152,2475,15664
843235543001513987,5388,19925
842846295480000512,3311,14191
842765311967449089,1175,6282
842535590457499648,3168,16883
842163532590374912,5249,22686
842115215311396866,2756,13006
841833993020538882,13529,0
841680585030541313,7143,23987
841439858740625411,3307,11695
841320156043304961,5012,18386
841314665196081154,4225,14716
841077006473256960,4880,21301
840761248237133825,1619,0
840728873075638272,14565,0
840698636975636481,2,163
840696689258311684,889,11459
840632337062862849,1619,8413
840370681858686976,4171,15313
840268004936019968,5205,17861
839990271299457024,2063,12511
839549326359670784,7053,25518
839290600511926273,132,0
839239871831150596,5922,25184
838952994649550848,3656,18334
838921590096166913,1853,10403
838916489579200512,31,0
838831947270979586,10001,0
838561493054533637,1230,10231
838476387338051585,4335,20933
838201503651401729,9159,0
838150277551247360,302,1565
838085839343206401,1,133
838083903487373313,2833,16432
837820167694528512,7137,31780
837482249356513284,405,3598
837471256429613056,2058,11965
837110210464448512,2175,15051
836989968035819520,2108,11926
836753516572119041,4256,18091
836677758902222849,2020,11825
836648853927522308,507,0
836397794269200385,25020,0
836380477523124226,2745,13879
836260088725786625,3975,19915
836001077879255040,3879,17860
835685285446955009,7404,0
835574547218894849,3293,16617
835536468978302976,1540,0
835309094223372289,19114,0
835297930240217089,2734,15407
835264098648616962,1540,7215
835246439529840640,63,1988
835172783151792128,5285,24525
835152434251116546,2755,20906
834931633769889797,1488,10080
834786237630337024,5104,20184
834574053763584002,2306,12786
834477809192075265,9744,0
834458053273591808,1544,9019
834209720923721728,4318,19205
834167344700198914,3357,14805
834089966724603904,1961,9426
834086379323871233,2037,12219
833863086058651648,2205,12596
833826103416520705,3483,17045
833732339549220864,204,0
833722901757046785,2993,19642
833479644947025920,1886,13975
833124694597443584,4434,18958
832998151111966721,2008,12403
832769181346996225,38,0
832757312314028032,3313,15818
832682457690300417,2663,11116
832645525019123713,484,2731
832636094638288896,2554,14859
832397543355072512,2035,11216
832369877331693569,2914,16045
832273440279240704,2140,10633
832215909146226688,5707,0
832215726631055365,8565,0
832088576586297345,2,59
832040443403784192,8800,0
832032802820481025,4295,16735
831939777352105988,5646,22436
831926988323639298,34,319
831911600680497154,5957,25779
831670449226514432,1686,9768
831650051525054464,1783,6668
831552930092285952,2157,8439
831322785565769729,1440,8732
831315979191906304,1036,6162
831309418084069378,2257,11064
831262627380748289,1885,11131
830956169170665475,1373,7496
830583320585068544,15375,62261
830173239259324417,5226,0
830097400375152640,2688,9134
829878982036299777,4590,0
829861396166877184,1790,11494
829501995190984704,9744,29819
829449946868879360,1856,9846
829141528400556032,6748,22864
829011960981237760,15060,50152
828801551087042563,3150,0
828770345708580865,5381,24021
828708714936930305,10292,34157
828650029636317184,1232,8931
828409743546925057,1078,6032
828408677031882754,1182,7233
828381636999917570,2055,11834
828376505180889089,991,6969
828372645993398273,2721,11840
828361771580813312,165,2063
828046555563323392,2648,11024
828011680017821696,1981,9749
827933404142436356,4813,18791
827653905312006145,2787,14553
827600520311402496,863,7048
827324948884643840,2798,14909
827199976799354881,2056,9973
826958653328592898,4590,20264
826848821049180160,9308,33962
826615380357632002,3671,0
826598799820865537,229,4847
826598365270007810,2173,9423
826476773533745153,3885,17328
826240494070030336,2411,12500
826204788643753985,855,4584
826115272272650244,2858,14704
825876512159186944,1735,9902
825829644528148480,2324,11991
825535076884762624,16307,53819
825147591692263424,4167,17210
825120256414846976,1165,0
825026590719483904,1165,5889
824796380199809024,5078,0
824775126675836928,3259,14019
824663926340194305,1636,9919
824325613288833024,9856,11143
824297048279236611,3556,14182
824025158776213504,556,4567
823939628516474880,2523,10037
823719002937630720,10314,0
823699002998870016,2331,13165
823581115634085888,2433,12220
823333489516937216,22,662
823322678127919110,3707,14777
823269594223824897,9185,0
822975315408461824,3189,16326
822872901745569793,39770,123705
822859134160621569,2105,12415
822647212903690241,5934,0
822610361945911296,2721,13930
822489057087389700,5934,17064
822462944365645825,13083,26212
822244816520155136,9185,33013
822163064745328640,4354,0
821886076407029760,2131,10648
821813639212650496,3115,0
821765923262631936,1554,7888
821522889702862852,1626,7547
821421320206483457,5110,0
821407182352777218,3979,11070
821153421864615936,9,236
821149554670182400,1820,8085
821107785811234820,1967,9033
821044531881721856,2116,11912
820837357901512704,6214,0
820749716845686786,9159,29730
820690176645140481,2991,11558
820494788566847489,521,0
820446719150292993,2383,0
820314633777061888,521,3152
820078625395449857,5763,18573
820013781606658049,1079,0
819952236453363712,1079,5007
819924195358416896,4529,12198
819711362133872643,2858,12582
819588359383371776,1865,9131
819347104292290561,1115,6811
819238181065359361,379,2133
819227688460238848,6214,21734
819015337530290176,34425,0
819015331746349057,17728,0
819006400881917954,17728,42890
819004803107983360,34425,82422
818646164899774465,19365,0
818627210458333184,7037,21167
818614493328580609,2346,9273
818588835076603904,5669,0
818536468981415936,2263,10244
818307523543449600,7421,0
818259473185828864,2073,10386
818145370475810820,2361,11586
817908911860748288,739,4595
817827839487737858,25020,48452
817777686764523521,2513,10197
817536400337801217,2720,11082
817502432452313088,3131,0
817423860136083457,13529,31740
817415592588222464,885,5284
817181837579653120,7834,0
817171292965273600,1857,8283
817120970343411712,2405,11508
817056546584727552,1510,8110
816829038950027264,4371,0
816816676327063552,1886,9449
816697700272001025,2047,9214
816450570814898180,7421,28574
816336735214911488,1795,8148
816091915477250048,1979,8462
816062466425819140,942,0
816014286006976512,4861,0
815990720817401858,942,4679
815966073409433600,7834,21063
815745968457060357,3842,0
815736392542261248,2109,9278
815639385530101762,1547,7800
815390420867969024,3553,9795
814986499976527872,1183,7240
814638523311648768,2516,10663
814578408554463233,5438,0
814530161257443328,1732,8194
814153002265309185,8079,27166
813944609378369540,2944,0
813910438903693312,1725,8829
813812741911748608,12990,34520
813800681631023104,1640,7866
813217897535406080,6826,17623
813202720496779264,1700,8743
813187593374461952,4031,18758
813172488309972993,1803,8777
813157409116065792,2059,7346
813142292504645637,2237,8058
813130366689148928,418,4252
813127251579564032,2912,11177
813112105746448384,2555,9771
813096984823349248,3370,10003
813081950185472002,2586,9399
813066809284972545,1821,7527
813051746834595840,6818,19872
812781120811126785,1784,7128
812709060537683968,1348,6274
812503143955202048,1147,5725
812466873996607488,1795,7557
812372279581671427,3412,12893
811985624773361665,1304,6892
811744202451197953,1468,7134
811647686436880384,680,5301
811627233043480576,2838,12036
811386762094317568,5957,19798
810984652412424192,1326,5039
810896069567610880,1638,8505
810657578271330305,2460,10400
810284430598270976,10464,33202
810254108431155201,3150,13931
809920764300447744,3671,14740
809808892968534016,4557,0
809448704142938112,1361,6590
809220051211603969,5226,18818
809084759137812480,3284,12525
808838249661788160,2856,9619
808733504066486276,2029,7472
808501579447930884,2451,10724
808344865868283904,19365,40050
808134635716833280,5491,0
808106460588765185,2062,8369
808001312164028416,3295,11810
807621403335917568,3374,13807
807106840509214720,51446,111235
807059379405148160,6864,0
807010152071229440,3615,12430
806629075125202948,32232,70327
806620845233815552,5124,0
806576416489959424,1818,4647
806542213899489280,2210,9708
806242860592926720,10836,0
806219024703037440,1130,6116
805958939288408065,4993,0
805932879469572096,1795,7857
805826884734976000,1710,6220
805823200554876929,7432,0
805520635690676224,1547,5465
805487436403003392,2370,8321
805207613751304193,1623,7460
804738756058218496,3590,12940
804475857670639616,1885,5823
804413760345620481,2999,0
804026241225523202,14976,41921
803773340896923648,2578,9519
803692223237865472,6899,0
803638050916102144,3871,10348
803380650405482500,1763,7366
803321560782307329,4937,0
803276597545603072,2289,9509
802952499103731712,1865,8555
802624713319034886,2715,0
802600418706604034,1377,6747
802572683846291456,2348,8493
802323869084381190,5455,15299
802265048156610565,1288,6603
802239329049477120,2450,8628
802185808107208704,250,0
801958328846974976,1592,7350
801854953262350336,218,1720
801538201127157760,1946,7796
801285448605831168,770,5722
801167903437357056,5491,23105
801127390143516673,3690,0
801115127852503040,1981,7661
800859414831898624,90,645
800855607700029440,1511,0
800751577355128832,2616,10066
800513324630806528,2815,12457
800459316964663297,2054,9019
800443802682937345,4009,0
800388270626521089,2629,10574
800188575492947969,3680,0
800141422401830912,2383,14474
800018252395122689,12259,26812
799774291445383169,4351,0
799757965289017345,1998,7945
799422933579902976,1792,7670
799308762079035393,5057,0
799297110730567681,2549,9361
799063482566066176,2333,7675
798933969379225600,4142,12388
798925684722855936,1355,7147
798705661114773508,6186,0
798701998996647937,7209,0
798697898615730177,6072,0
798694562394996736,4626,0
798686750113755136,2172,0
798682547630837760,4416,0
798673117451325440,5203,0
798665375516884993,3667,0
798644042770751489,1737,0
798628517273620480,1856,0
798585098161549313,5251,0
798576900688019456,5457,0
798340744599797760,3130,0
798209839306514432,2418,9899
797971864723324932,2880,10923
797545162159308800,4602,13839
797236660651966464,6131,18872
797165961484890113,24,212
796904159865868288,8330,0
796865951799083009,1825,7287
796759840936919040,2819,11173
796563435802726400,6706,0
796484825502875648,1644,7166
796387464403357696,3876,10427
796177847564038144,13322,0
796149749086875649,13322,30410
796125600683540480,1680,4723
796116448414461957,2243,8614
796080075804475393,2158,7999
796031486298386433,3491,10237
795464331001561088,21875,46617
795400264262053889,2674,9474
795076730285391872,5078,15304
794983741416415232,3145,0
794926597468000259,2152,9648
794355576146903043,9628,0
794332329137291264,2530,9107
794205286408003585,3102,8748
793962221541933056,4557,15849
793845145112371200,1739,8743
793614319594401792,2917,0
793601777308463104,1511,7556
793500921481273345,2223,10087
793286476301799424,8565,23286
793271401113350145,2238,8231
793256262322548741,7770,18868
793241302385262592,3064,9955
793226087023144960,2705,9256
793210959003287553,2600,8447
793195938047070209,5255,14398
793180763617361921,1857,6542
793165685325201412,2618,8876
793150605191548928,1592,5834
793135492858580992,2348,6058
793120401413079041,3668,11984
792913359805018113,3698,13542
792883833364439040,3990,10679
792773781206999040,1567,6983
792394556390137856,4002,12675
792050063153438720,1664,6756
791821351946420224,19621,0
791784077045166082,8847,0
791780927877898241,3544,0
791774931465953280,20678,42625
791672322847637504,2917,11115
791406955684368384,3842,12458
791312159183634433,2357,8297
791026214425268224,3790,0
790987426131050500,1981,9280
790946055508652032,4371,15824
790723298204217344,2139,0
790698755171364864,1796,7782
790581949425475584,6618,19494
790337589677002753,1763,7406
790277117346975746,2944,11862
790227638568808452,3294,0
789986466051088384,2139,8780
789960241177853952,3808,0
789903600034189313,3871,9756
789628658055020548,1637,7057
